snapshot_date,week_start,project_id,equipment_type,commissioning_level,equipment_count,total_lines,completed_lines,open_lines,completion_pct,last_synced
2026-09-08,2026-09-07,39282,VRF,L2,15,525,289,236,55.05,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,VRF,L3,15,390,0,390,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,ACS,L1,89,1865,1343,522,72.01,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,ACS,L2,89,3360,1888,1472,56.19,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,ACS,L3,89,2314,0,2314,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,AIS,L1,4,84,42,42,50.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,AIS,L2,4,160,0,160,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,AIS,L3,4,104,0,104,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,BMP,L1,25,517,437,80,84.53,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,BMP,L2,25,1232,610,622,49.51,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,BMP,L3,25,650,0,650,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,BOP,L1,7,147,147,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,BOP,L2,7,280,0,280,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,BOP,L3,7,182,0,182,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,BSW,L1,39,780,460,320,58.97,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,BSW,L2,39,1365,803,562,58.83,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,BSW,L3,39,1014,0,1014,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,CDU,L1,6,126,126,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,CDU,L2,6,240,0,240,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,CDU,L3,6,156,0,156,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,CHL,L1,8,168,168,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,CHL,L2,8,320,55,265,17.19,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,CHL,L3,8,208,0,208,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,CHP,L1,8,168,168,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,CHP,L2,8,320,7,313,2.19,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,CHP,L3,8,208,0,208,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,CRA,L1,28,588,575,13,97.79,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,CRA,L2,28,1120,76,1044,6.79,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,CRA,L3,28,728,0,728,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,CTS,L1,4,84,14,70,16.67,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,CTS,L2,4,160,0,160,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,CTS,L3,4,104,0,104,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,DPP,L1,63,1291,1270,21,98.37,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,DPP,L2,63,2430,1365,1065,56.17,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,DPP,L3,63,1638,7,1631,0.43,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,DSG,L1,8,168,168,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,DSG,L2,8,592,592,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,DSG,L3,8,208,48,160,23.08,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,EPP,L1,9,185,185,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,EPP,L2,9,476,353,123,74.16,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,EPP,L3,9,234,0,234,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,EXF,L1,8,160,152,8,95.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,EXF,L2,8,280,0,280,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,EXF,L3,8,208,0,208,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,EXP,L1,4,84,42,42,50.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,EXP,L2,4,160,0,160,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,EXP,L3,4,104,0,104,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FAC,L1,3,63,63,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FAC,L2,3,120,0,120,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FAC,L3,3,78,0,78,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FAP,L1,16,320,320,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FAP,L2,16,560,559,1,99.82,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FAP,L3,16,416,0,416,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FCC,L1,5,103,103,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FCC,L2,5,175,104,71,59.43,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FCC,L3,5,130,0,130,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FCU,L1,5,103,103,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FCU,L2,5,175,105,70,60.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FCU,L3,5,130,0,130,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FOF,L1,2,42,42,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FOF,L2,2,80,80,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FOF,L3,2,52,0,52,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,FOP,L1,2,42,42,0,100.0,2026-09-08T13:35:08.662975+00:00
