project_id,equipment_id,name,type,discipline,building,floor,space,status,area_type,equipment_supplier,floor,installing_contractor,location,logistics_category_1,manufacturer,model_name,model_number,phase,serial_number,tranche,vendor,systems,no_tag_date,no_tag_person,l1_red_tag_date,l1_red_tag_person,conditional_yellow_tag_date,conditional_yellow_tag_person,l2_yellow_tag_date,l2_yellow_tag_person,energized_date,energized_person,l3_green_tag_date,l3_green_tag_person,l4_blue_tag_date,l4_blue_tag_person,l5_white_tag_date,l5_white_tag_person,current_stage,current_stage_date,current_stage_person,last_synced
39282,8742473,EDCKUL21ACS01570,ACS,Mechanical,,,EU STORAGE,NO TAG,IT,Promatrix DCS,,Promatrix DCS,2F - EU Storage,,Hisense,Multi-Split 4-Way Cassette Type Unit,AVBC-09HJFKA,,QCKAKN3Z9003,1,Chen Guan,Block AH,2025-01-27 10:42:37,Aaron Asir,,,,,,,,,,,,,,,No Tag,2025-01-27 10:42:37,Aaron Asir,2026-09-12T20:09:40.124047+00:00
39282,8742474,EDCKUL21ACS01580,ACS,Mechanical,,,EU STORAGE,L1 RED TAG,IT,Promatrix DCS,,Promatrix DCS,2F - EU Storage,,Hisense,Multi-Split 4-Way Cassette Type Unit,AVBC-09HJFKA,,QCKAKN3Z900A,1,Chen Guan,Block AH,2025-01-27 10:42:37,Aaron Asir,2026-08-13 02:13:01,Nadhirah Mazlan,,,,,,,,,,,,,L1 Red Tag,2026-08-13 02:13:01,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742475,EDCKUL21ACS01590,ACS,Mechanical,,,EU STORAGE,NO TAG,IT,Promatrix DCS,,Promatrix DCS,2F - EU Meeting Room,,Hisense,Multi-Split 4-Way Cassette Type Unit,AVBC-38HJFKA,,QCKATN2Z902M,1,Chen Guan,Block AH,2025-01-27 10:42:37,Aaron Asir,,,,,,,,,,,,,,,No Tag,2025-01-27 10:42:37,Aaron Asir,2026-09-12T20:09:40.124047+00:00
39282,8742478,EDCKUL21ACS01610,ACS,Mechanical,,,END USER OFFICE,L1 RED TAG,IT,Promatrix DCS,,Promatrix DCS,2F - EU Office,,Hisense,Multi-Split 4-Way Cassette Type Unit,AVBC-38HJFKA,,QCKATN2Z902N,1,Chen Guan,Block AH,2025-01-27 10:42:37,Aaron Asir,2026-08-27 03:47:03,Nadhirah Mazlan,,,,,,,,,,,,,L1 Red Tag,2026-08-27 03:47:03,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742479,EDCKUL21ACS01620,ACS,Mechanical,,,END USER OFFICE,L1 RED TAG,IT,Promatrix DCS,,Promatrix DCS,2F - EU Office,,Hisense,Multi-Split 4-Way Cassette Type Unit,AVBC-38HJFKA,,QCKATN2Z9029,1,Chen Guan,Block AH,2025-01-27 10:42:37,Aaron Asir,2026-08-27 03:48:28,Nadhirah Mazlan,,,,,,,,,,,,,L1 Red Tag,2026-08-27 03:48:28,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742480,EDCKUL21ACS01630,ACS,Mechanical,,,END USER OFFICE,L1 RED TAG,IT,Promatrix DCS,,Promatrix DCS,2F - EU Office,,Hisense,Multi-Split 4-Way Cassette Type Unit,AVBC-38HJFKA,,QCKATN2Z902R,1,Chen Guan,Block AH,2025-01-27 10:42:37,Aaron Asir,2026-08-27 03:50:09,Nadhirah Mazlan,,,,,,,,,,,,,L1 Red Tag,2026-08-27 03:50:09,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742481,EDCKUL21ACS01640,ACS,Mechanical,,,END USER OFFICE,L1 RED TAG,IT,Promatrix DCS,,Promatrix DCS,2F - EU Office,,Hisense,Multi-Split 4-Way Cassette Type Unit,AVBC-38HJFKA,,QCKATN2Z902A,1,Chen Guan,Block AH,2025-01-27 10:42:37,Aaron Asir,2026-08-27 03:51:38,Nadhirah Mazlan,,,,,,,,,,,,,L1 Red Tag,2026-08-27 03:51:38,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742482,EDCKUL21ACS01650,ACS,Mechanical,,,GAME ROOM,L1 RED TAG,IT,Promatrix DCS,,Promatrix DCS,2F - Game Room,,Hisense,Multi-Split 4-Way Cassette Type Unit,AVBC-24HJFKA,,QCKAQN2Z903B,1,Chen Guan,Block AH,2025-01-27 10:42:37,Aaron Asir,2026-08-27 03:53:00,Nadhirah Mazlan,,,,,,,,,,,,,L1 Red Tag,2026-08-27 03:53:00,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742483,EDCKUL21ACS01660,ACS,Mechanical,,,END USER OFFICE,L1 RED TAG,IT,Promatrix DCS,,Promatrix DCS,2F - EU Office,,Hisense,Multi-Split 4-Way Cassette Type Unit,AVBC-38HJFKA,,QCKATN3Z9013,1,Chen Guan,Block AH,2025-01-27 10:42:37,Aaron Asir,2026-08-27 03:54:06,Nadhirah Mazlan,,,,,,,,,,,,,L1 Red Tag,2026-08-27 03:54:06,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742484,EDCKUL21ACS01670,ACS,Mechanical,,,END USER OFFICE,L1 RED TAG,IT,Promatrix DCS,,Promatrix DCS,2F - EU Office,,Hisense,Multi-Split 4-Way Cassette Type Unit,AVBC-38HJFKA,,QCKATN2Z902P,1,Chen Guan,Block AH,2025-01-27 10:42:37,Aaron Asir,2026-08-27 03:55:56,Nadhirah Mazlan,,,,,,,,,,,,,L1 Red Tag,2026-08-27 03:55:56,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,13450402,EDCKUL21ACS01680,ACS,Mechanical,,,HUDDLE ROOM 1,L1 RED TAG,IT,Promatrix DCS,,Promatrix DCS,2F - Huddle Room 1,,Hisense,Multi-Split 4-Way Cassette Type Unit,AVBC-09HJFKA,,QCKAKN3Z900S,1,Chen Guan,Block AH,2026-07-15 03:08:56,Nadhirah Mazlan,2026-08-27 04:00:10,Nadhirah Mazlan,,,,,,,,,,,,,L1 Red Tag,2026-08-27 04:00:10,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,13450403,EDCKUL21ACS01690,ACS,Mechanical,,,HUDDLE ROOM 2,L1 RED TAG,IT,Promatrix DCS,,Promatrix DCS,2F - Huddle Room 2,,Hisense,Multi-Split 4-Way Cassette Type Unit,AVBC-09HJFKA,,QCKAKN3Z9001,1,Chen Guan,Block AH,2026-07-15 03:09:57,Nadhirah Mazlan,2026-08-27 04:00:41,Nadhirah Mazlan,,,,,,,,,,,,,L1 Red Tag,2026-08-27 04:00:41,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742486,EDCKUL21ACS01710,ACS,Mechanical,,,BATTERY ROOM AD,ENERGIZED,IT,Promatrix DCS,,Promatrix DCS,3F - Battery Room AD,,Hisense,AVS,AVS-28HJFTDD,,VKA080 0002NP 05A0CJ2 0012,1,Chen Guan,Block AH,2026-07-20 00:50:57,Muhammad Syamin Afiq,2026-07-20 04:54:21,Nadhirah Mazlan,,,2026-08-26 01:10:51,Nadhirah Mazlan,2026-09-07 11:44:34,Nadhirah Mazlan,,,,,,,Energized,2026-09-07 11:44:34,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742487,EDCKUL21ACS01720,ACS,Mechanical,,,BATTERY ROOM AE,ENERGIZED,IT,Promatrix DCS,,Promatrix DCS,3F - Battery Room AE,,Hisense,AVS,AVS-28HJFTDD,,VKA080 0002NP 05A0CJ2 0021,1,Chen Guan,Block AH,2026-07-20 00:50:57,Muhammad Syamin Afiq,2026-07-20 04:54:26,Nadhirah Mazlan,,,2026-08-26 01:28:39,Nadhirah Mazlan,2026-09-07 11:44:38,Nadhirah Mazlan,,,,,,,Energized,2026-09-07 11:44:38,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742488,EDCKUL21ACS01730,ACS,Mechanical,,,BATTERY ROOM AF,ENERGIZED,IT,Promatrix DCS,,Promatrix DCS,3F - Battery Room AF,,Hisense,AVS,AVS-28HJFTDD,,VKA080 0002NP 05B04J2 0004,1,Chen Guan,Block AH,2026-07-20 00:50:57,Muhammad Syamin Afiq,2026-07-20 04:54:29,Nadhirah Mazlan,,,2026-08-26 01:30:42,Nadhirah Mazlan,2026-09-07 11:44:41,Nadhirah Mazlan,,,,,,,Energized,2026-09-07 11:44:41,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742489,EDCKUL21ACS01740,ACS,Mechanical,,,BATTERY ROOM AZ,ENERGIZED,IT,Promatrix DCS,,Promatrix DCS,3F - Battery Room AZ,,Hisense,AVS,AVS-28HJFTDD,,VKA080 0002NP 05B1QJ2 0005,1,Chen Guan,Block AH,2026-04-17 03:54:25,Ryan Saputra,2026-07-20 04:54:36,Nadhirah Mazlan,,,2026-08-26 01:43:53,Nadhirah Mazlan,2026-09-07 11:44:44,Nadhirah Mazlan,,,,,,,Energized,2026-09-07 11:44:44,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742490,EDCKUL21ACS01750,ACS,Mechanical,,,MMR 02,ENERGIZED,IT,Promatrix DCS,,Promatrix DCS,3F - MMR 01,,Hisense,AVS,AVS-24HJFTDD,,VKA071 0002NP 0BF35J2 0028,1,Chen Guan,Block AH,2026-07-20 00:50:57,Muhammad Syamin Afiq,2026-07-20 04:54:40,Nadhirah Mazlan,,,2026-08-26 01:52:54,Nadhirah Mazlan,2026-09-07 11:44:47,Nadhirah Mazlan,,,,,,,Energized,2026-09-07 11:44:47,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742491,EDCKUL21ACS01760,ACS,Mechanical,,,ITR & SER 01,ENERGIZED,IT,Promatrix DCS,,Promatrix DCS,3F - ITR 01,,Hisense,AVS,AVS-15HJFTDD,,VKA045 0002NP 05B1TJ2 0014,1,Chen Guan,Block AH,2026-07-20 00:50:57,Muhammad Syamin Afiq,2026-07-20 04:54:43,Nadhirah Mazlan,,,2026-08-27 01:43:13,Nadhirah Mazlan,2026-09-07 11:44:49,Nadhirah Mazlan,,,,,,,Energized,2026-09-07 11:44:49,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742492,EDCKUL21ACS01770,ACS,Mechanical,,,ITR & SER 01,ENERGIZED,IT,Promatrix DCS,,Promatrix DCS,3F - ITR 01,,Hisense,AVS,AVS-15HJFTDD,,VKA045 0002NP 05B1TJ2 0059,1,Chen Guan,Block AH,2026-07-20 00:50:57,Muhammad Syamin Afiq,2026-07-20 04:54:47,Nadhirah Mazlan,,,2026-08-26 02:07:13,Nadhirah Mazlan,2026-09-07 11:44:52,Nadhirah Mazlan,,,,,,,Energized,2026-09-07 11:44:52,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
